2025-09-05 03:18:09,626 | INFO     | VzoelAssistant | Test info message
2025-09-05 03:18:09,628 | WARNING  | VzoelAssistant | Test warning message
2025-09-05 03:18:09,629 | ERROR    | VzoelAssistant | Test error message
2025-09-05 03:18:09,630 | INFO     | VzoelAssistant | SUCCESS: Test success message
2025-09-05 03:18:09,644 | INFO     | VzoelAssistant | Health check at 2025-09-05T03:18:09.586991
2025-09-05 03:18:09,686 | ERROR    | VzoelAssistant | EMERGENCY: Test emergency message
2025-09-05 03:18:39,144 | INFO     | VzoelAssistant | Test info message
2025-09-05 03:18:39,145 | WARNING  | VzoelAssistant | Test warning message
2025-09-05 03:18:39,146 | ERROR    | VzoelAssistant | Test error message
2025-09-05 03:18:39,147 | INFO     | VzoelAssistant | SUCCESS: Test success message
2025-09-05 03:18:39,152 | INFO     | VzoelAssistant | Health check at 2025-09-05T03:18:39.136641
2025-09-05 03:18:39,181 | ERROR    | VzoelAssistant | EMERGENCY: Test emergency message
2025-09-05 07:48:13,487 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:48:13,491 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:48:13,495 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:48:13,498 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:48:13,501 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:48:13,502 | ERROR    | VzoelAssistant | Failed to load emoji mapping: 'PremiumEmojiMapper' object has no attribute 'default_premium_emojis'
2025-09-05 07:49:41,765 | INFO     | VzoelAssistant | SUCCESS: Added custom emoji: test_emoji
2025-09-05 07:49:41,771 | INFO     | VzoelAssistant | SUCCESS: Added custom emoji: persistence_test
2025-09-05 08:06:23,683 | INFO     | VzoelAssistant | Using VzoelAssets for premium emoji mapping
2025-09-05 08:06:23,689 | INFO     | VzoelAssistant | Using VzoelAssets for premium emoji mapping
2025-09-05 08:06:23,703 | INFO     | VzoelAssistant | Using VzoelAssets for premium emoji mapping
